lemma	docs	occurrences
неустанный	1772.0	2672.0
стык	978.0	1721.0
растворимый	543.0	1214.0
уподобляться	650.0	872.0
девственность	354.0	562.0
каштан	690.0	2310.0
сток	667.0	1367.0
нерв	4311.0	11993.0
трансляция	633.0	1214.0
Павловск	513.0	1388.0
прикоснуться	1871.0	3020.0
носоглотка	87.0	171.0
установка	5887.0	16387.0
католик	1234.0	3213.0
чуткий	3303.0	6170.0
развесить	1576.0	2201.0
немытый	629.0	839.0
лайка	293.0	621.0
фрунзенский	209.0	370.0
хамить	382.0	643.0
чернить	1991.0	3658.0
поземка	267.0	456.0
фурор	337.0	399.0
безрадостный	716.0	904.0
широкополый	458.0	654.0
научный	12506.0	47569.0
накостылять	90.0	109.0
нюрнбергский	167.0	242.0
мосток	750.0	1550.0
ужаснуться	1356.0	1960.0
елочный	409.0	591.0
пошевелиться	955.0	1510.0
непобедимый	1425.0	2151.0
трамвай	2978.0	8856.0
расчленение	364.0	619.0
каталка	193.0	391.0
деляга	104.0	132.0
сговорчивый	319.0	371.0
взять	28256.0	194206.0
фотокарточка	322.0	548.0
первоначальный	5863.0	13096.0
крысиный	342.0	606.0
процедить	884.0	1578.0
облизнуть	11.0	11.0
банда	1456.0	3617.0
нечистоты	629.0	902.0
активно	5827.0	9030.0
истошно	351.0	465.0
лепра	12.0	31.0
посему	1407.0	2677.0
седло	1874.0	6478.0
семнадцатилетний	647.0	804.0
прикрепляться	413.0	761.0
перевесить	373.0	433.0
желторотый	151.0	183.0
примечать	875.0	1640.0
поблажка	459.0	539.0
объемный	1215.0	1833.0
по-детски	1207.0	1783.0
хмуро	1370.0	2995.0
разглядывать	2957.0	7869.0
наложница	312.0	586.0
клацать	157.0	191.0
недостаток	10120.0	25089.0
плитка	1228.0	2464.0
наступить	8556.0	22952.0
уместно	1170.0	1454.0
распознать	1159.0	1633.0
одиннадцать	3800.0	8045.0
хозяйничать	1106.0	1631.0
звереть	452.0	1077.0
поблекнуть	803.0	1019.0
майор	2159.0	15596.0
набросить	977.0	1347.0
оглашенный	507.0	749.0
штукатурка	960.0	1593.0
передавать	8621.0	18493.0
раздать	2169.0	3435.0
заканчиваться	3986.0	6070.0
конфронтация	355.0	576.0
проседь	607.0	821.0
звонко	1776.0	3423.0
геодезист	152.0	323.0
ельник	442.0	1152.0
отличный	10376.0	33993.0
просунуть	962.0	1443.0
эге	567.0	1060.0
визуальный	983.0	1798.0
мюзикл	282.0	790.0
призадуматься	877.0	1362.0
рубленый	486.0	715.0
тес	403.0	680.0
тертый	508.0	737.0
островской	950.0	2883.0
назреть	850.0	1044.0
норовить	1969.0	3633.0
перекладывать	1125.0	1426.0
облизывать	657.0	894.0
рассудок	2186.0	4972.0
взыскание	1460.0	3291.0
смирно	1569.0	2822.0
беспробудный	326.0	380.0
материалистический	631.0	1460.0
вровень	621.0	799.0
голубой	7331.0	26612.0
дивный	2677.0	6222.0
ординаторский	100.0	318.0
прокат	935.0	1717.0
велюр	41.0	48.0
превыше	776.0	1085.0
досаждать	495.0	594.0
мяуканье	158.0	190.0
невропатия	7.0	11.0
брик	249.0	1499.0
перерабатывать	977.0	1334.0
тренировочный	588.0	959.0
вергасов	4.0	8.0
немногие	5786.0	11355.0
дополнительный	9013.0	16780.0
возродиться	910.0	1127.0
козленок	302.0	663.0
посреди	4236.0	11458.0
депеша	681.0	1634.0
соната	555.0	1101.0
смыться	429.0	626.0
гарь	923.0	1682.0
четырнадцатый	1003.0	1535.0
миф	2590.0	7782.0
нечеткий	377.0	668.0
квартира	12881.0	73855.0
раздражаться	1004.0	1552.0
распоряжаться	2845.0	5053.0
отпираться	492.0	624.0
мичуринский	205.0	423.0
Сибирь	5314.0	16680.0
собраться	11055.0	34553.0
просуществовать	805.0	1029.0
летописец	735.0	2740.0
одеревенеть	355.0	434.0
например	27609.0	101254.0
принятие	5882.0	11805.0
незнакомец	1591.0	4965.0
усиление	3528.0	6799.0
маршрутный	252.0	360.0
клич	784.0	1126.0
вполуха	171.0	209.0
нии	1058.0	2136.0
божок	274.0	381.0
стоптать	602.0	814.0
жизнеобеспечение	263.0	375.0
квашня	191.0	319.0
волочь	1051.0	1912.0
чаек	2503.0	6459.0
сучить	308.0	398.0
судный	2295.0	7363.0
уничтожить	7111.0	17384.0
монархия	1195.0	3284.0
отправить	9864.0	28644.0
унылый	3649.0	8375.0
пробный	1189.0	1701.0
полицмейстер	560.0	1312.0
противозаконный	504.0	649.0
геополитический	548.0	971.0
бездыханный	471.0	652.0
мелкий	12885.0	43775.0
истерический	1351.0	2543.0
подпортить	218.0	253.0
вечный	11900.0	45036.0
снежно	271.0	369.0
посольский	549.0	1481.0
пустышка	197.0	345.0
развеселить	685.0	876.0
потерпеть	4452.0	9057.0
мякоть	600.0	1044.0
комментатор	656.0	1090.0
винтовка	2097.0	9664.0
бубенец	390.0	662.0
неподъемный	332.0	393.0
японский	5224.0	18949.0
затрудняться	1175.0	1566.0
отваливать	308.0	413.0
ботаник	968.0	1994.0
восьмой	3554.0	7683.0
щепоть	276.0	382.0
загородка	417.0	662.0
искупление	646.0	1352.0
дефект	1235.0	2433.0
обмен	5190.0	10081.0
лава	920.0	2305.0
непостижимо	834.0	1118.0
гамбургский	361.0	570.0
пульпа	64.0	132.0
кучерявый	215.0	311.0
невезучий	144.0	172.0
розвальни	245.0	440.0
ушко	1162.0	1845.0
пренебрежительный	1255.0	1966.0
понукать	449.0	581.0
дачный	1706.0	3242.0
конфетка	596.0	878.0
водосточный	441.0	589.0
желчный	941.0	1513.0
правильность	2308.0	3593.0
вымя	316.0	554.0
констебль	31.0	56.0
ботиночек	170.0	224.0
прислуживать	734.0	1049.0
нервозность	352.0	442.0
биосфера	263.0	1152.0
промаслить	304.0	378.0
приставлять	384.0	458.0
простак	548.0	899.0
комплекция	275.0	361.0
танк	2212.0	13985.0
ломоть	979.0	1579.0
окружный	3688.0	6471.0
писательство	381.0	600.0
уменьшительный	377.0	539.0
кибернетика	420.0	837.0
благоговеть	577.0	810.0
столбняк	412.0	689.0
почитание	704.0	1253.0
пирамидальный	364.0	490.0
